,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
mu_alpha,0.7997270595206422,0.07238586347069846,0.6848025694381538,0.9144511445598126,1111.6323610457237,1845.9202903302094,1.0030608058543375,0.002171082989267339,0.0015615673126999675
mu_beta,-0.5319361282295076,0.043946173183170935,-0.6019243125314937,-0.4625016721249088,5752.608698489241,5473.6162273169575,1.00057564977553,0.0005804375628074142,0.00041427584974898523
sigma_alpha,0.42755376495504777,0.05632263733232512,0.3482733438251571,0.522804807813778,1769.774132573072,2497.953533969637,1.0013551115756547,0.0013608502062565887,0.001189605089109701
sigma_beta,0.1476319642729768,0.05519004721053254,0.059826975207152217,0.23663051574715444,1562.7973622394811,1918.0493570583121,1.0017991707755876,0.001383556317409061,0.0009656245021279887
kappa,50.99926611343717,5.88663056473334,42.323202466679874,61.11169069524648,5768.786966505139,5162.2188364744225,1.00009398153583,0.07824728354198209,0.0630732065712952
